iteration_duration_seconds,cdf
0.14999985694885254,0.025
0.15000009536743164,0.06
0.15999984741210938,0.17
0.16000008583068848,0.355
0.1699998378753662,0.45
0.1700000762939453,0.69
0.17999982833862305,0.74
0.18000006675720215,0.865
0.18999981880187988,0.885
0.19000005722045898,0.95
0.19999980926513672,0.955
0.2200000286102295,0.965
0.34999990463256836,0.97
0.3599998950958252,0.975
0.36999988555908203,0.98
0.37999987602233887,0.985
0.38000011444091797,0.995
4.079999923706055,1.0
