iteration_duration_seconds,cdf
0.6637117862701416,0.005
0.6638000011444092,0.01
0.6644558906555176,0.015
0.664992094039917,0.02
0.6655678749084473,0.025
0.666038990020752,0.03
0.6660900115966797,0.035
0.6663808822631836,0.04
0.6677119731903076,0.045
0.6681118011474609,0.05
0.6682500839233398,0.055
0.6683721542358398,0.06
0.6683781147003174,0.065
0.6685528755187988,0.07
0.6685788631439209,0.075
0.6686689853668213,0.08
0.6687560081481934,0.085
0.6687839031219482,0.09
0.6688499450683594,0.095
0.6690399646759033,0.1
0.6691069602966309,0.105
0.6693410873413086,0.11
0.6694989204406738,0.115
0.6696028709411621,0.12
0.6700930595397949,0.125
0.6702539920806885,0.13
0.6711838245391846,0.135
0.67128586769104,0.14
0.671450138092041,0.145
0.67156982421875,0.15
0.6717031002044678,0.155
0.6722309589385986,0.16
0.6725831031799316,0.165
0.6727800369262695,0.17
0.6729531288146973,0.175
0.6736869812011719,0.18
0.6744701862335205,0.185
0.6745970249176025,0.19
0.6749460697174072,0.195
0.676750898361206,0.2
0.6776280403137207,0.205
0.6784729957580566,0.21
0.6784751415252686,0.215
0.6793980598449707,0.22
0.6796720027923584,0.225
0.6797730922698975,0.23
0.6800518035888672,0.235
0.6803760528564453,0.24
0.68088698387146,0.245
0.6811518669128418,0.25
0.681304931640625,0.255
0.6813437938690186,0.26
0.6821110248565674,0.265
0.6823329925537109,0.27
0.6823430061340332,0.275
0.6824650764465332,0.28
0.6826188564300537,0.285
0.6829831600189209,0.29
0.6830179691314697,0.295
0.6832461357116699,0.3
0.6839849948883057,0.305
0.6847660541534424,0.31
0.6851339340209961,0.315
0.6854190826416016,0.32
0.6854870319366455,0.325
0.6857540607452393,0.33
0.6860368251800537,0.335
0.6860690116882324,0.34
0.6862969398498535,0.345
0.6863958835601807,0.35
0.686600923538208,0.355
0.6866960525512695,0.36
0.6869869232177734,0.365
0.6870050430297852,0.37
0.6870279312133789,0.375
0.6873908042907715,0.38
0.6875259876251221,0.385
0.6875720024108887,0.39
0.6875770092010498,0.395
0.6878361701965332,0.4
0.6879940032958984,0.405
0.6880099773406982,0.41
0.688086986541748,0.415
0.6881611347198486,0.42
0.6883399486541748,0.425
0.6885430812835693,0.43
0.6885929107666016,0.435
0.6886680126190186,0.44
0.6887750625610352,0.445
0.6888301372528076,0.45
0.688838005065918,0.455
0.688856840133667,0.46
0.6889338493347168,0.465
0.6891560554504395,0.47
0.6892070770263672,0.475
0.6892409324645996,0.48
0.6892890930175781,0.485
0.6894180774688721,0.49
0.6894791126251221,0.495
0.6894958019256592,0.5
0.6896359920501709,0.505
0.6898210048675537,0.51
0.6900069713592529,0.515
0.6900150775909424,0.52
0.6901140213012695,0.525
0.6902430057525635,0.53
0.690418004989624,0.535
0.690457820892334,0.54
0.6910560131072998,0.545
0.691176176071167,0.55
0.6912269592285156,0.555
0.6912600994110107,0.56
0.6913759708404541,0.565
0.691457986831665,0.57
0.691615104675293,0.575
0.691648006439209,0.58
0.6917519569396973,0.585
0.6917879581451416,0.59
0.6919829845428467,0.595
0.6920080184936523,0.6
0.6924099922180176,0.605
0.6924829483032227,0.61
0.6926631927490234,0.615
0.692903995513916,0.62
0.6930170059204102,0.625
0.6933398246765137,0.63
0.6938149929046631,0.635
0.6939311027526855,0.64
0.693993091583252,0.645
0.6940889358520508,0.65
0.6941819190979004,0.655
0.6948459148406982,0.66
0.6949498653411865,0.665
0.6953110694885254,0.67
0.695497989654541,0.675
0.6963150501251221,0.68
0.6964380741119385,0.685
0.6966161727905273,0.69
0.6970179080963135,0.695
0.6974809169769287,0.7
0.6975500583648682,0.705
0.6977591514587402,0.71
0.6977689266204834,0.715
0.6985859870910645,0.72
0.6988751888275146,0.725
0.6994860172271729,0.73
0.6995029449462891,0.735
0.6995639801025391,0.74
0.6996569633483887,0.745
0.6997621059417725,0.75
0.7001810073852539,0.755
0.7002110481262207,0.76
0.700286865234375,0.765
0.7010138034820557,0.77
0.7012491226196289,0.775
0.7027740478515625,0.78
0.7028980255126953,0.785
0.70334792137146,0.79
0.7034409046173096,0.795
0.7045941352844238,0.8
0.7047441005706787,0.805
0.7052638530731201,0.81
0.7061569690704346,0.815
0.7064640522003174,0.82
0.7065041065216064,0.825
0.7074429988861084,0.83
0.7074661254882812,0.835
0.707625150680542,0.84
0.7076640129089355,0.845
0.7078890800476074,0.85
0.7085690498352051,0.855
0.7085719108581543,0.86
0.7086381912231445,0.865
0.7103798389434814,0.87
0.7109129428863525,0.875
0.7113509178161621,0.88
0.7116599082946777,0.885
0.7117030620574951,0.89
0.7119359970092773,0.895
0.7123889923095703,0.9
0.713421106338501,0.905
0.7137649059295654,0.91
0.7145829200744629,0.915
0.7163138389587402,0.92
0.7164599895477295,0.925
0.7164809703826904,0.93
0.716914176940918,0.935
0.7171239852905273,0.94
0.7184510231018066,0.945
0.7195360660552979,0.95
0.7200071811676025,0.955
0.7204680442810059,0.96
0.7207329273223877,0.965
0.7218809127807617,0.97
0.7219138145446777,0.975
0.7220790386199951,0.98
0.72434401512146,0.985
0.7244579792022705,0.99
0.7258820533752441,0.995
0.7259619235992432,1.0
