iteration_number,iteration_duration_seconds,flow_size_bytes_in_iteration
1,0.6683721542358398,191879040
1,0.6683721542358398,191879040
1,0.6683721542358398,191879040
1,0.6683721542358398,191879040
1,0.6683721542358398,191879040
1,0.6683721542358398,191879040
1,0.6683721542358398,191879040
1,0.6683721542358398,191879040
2,0.6685528755187988,191887256
2,0.6685528755187988,191887256
2,0.6685528755187988,191887256
2,0.6685528755187988,191887264
2,0.6685528755187988,191887264
2,0.6685528755187988,191887264
2,0.6685528755187988,191887256
2,0.6685528755187988,191887264
3,0.6687560081481934,191883896
3,0.6687560081481934,191883896
3,0.6687560081481934,191883896
3,0.6687560081481934,191883904
3,0.6687560081481934,191883904
3,0.6687560081481934,191883904
3,0.6687560081481934,191883896
3,0.6687560081481934,191883904
4,0.6711838245391846,191887976
4,0.6711838245391846,191887976
4,0.6711838245391846,191887976
4,0.6711838245391846,191887984
4,0.6711838245391846,191887984
4,0.6711838245391846,191887984
4,0.6711838245391846,191887976
4,0.6711838245391846,191887984
5,0.6683781147003174,191887976
5,0.6683781147003174,191887976
5,0.6683781147003174,191887976
5,0.6683781147003174,191887984
5,0.6683781147003174,191887984
5,0.6683781147003174,191887984
5,0.6683781147003174,191887976
5,0.6683781147003174,191887984
6,0.6694989204406738,191888456
6,0.6694989204406738,191888456
6,0.6694989204406738,191888456
6,0.6694989204406738,191888464
6,0.6694989204406738,191888464
6,0.6694989204406738,191888464
6,0.6694989204406738,191888456
6,0.6694989204406738,191888464
7,0.67128586769104,191886296
7,0.67128586769104,191886296
7,0.67128586769104,191886296
7,0.67128586769104,191886304
7,0.67128586769104,191886304
7,0.67128586769104,191886304
7,0.67128586769104,191886296
7,0.67128586769104,191886304
8,0.6839849948883057,191878320
8,0.6839849948883057,191878320
8,0.6839849948883057,191878320
8,0.6839849948883057,191878320
8,0.6839849948883057,191878320
8,0.6839849948883057,191878320
8,0.6839849948883057,191878320
8,0.6839849948883057,191878320
9,0.6744701862335205,191884376
9,0.6744701862335205,191884376
9,0.6744701862335205,191884376
9,0.6744701862335205,191884384
9,0.6744701862335205,191884384
9,0.6744701862335205,191884384
9,0.6744701862335205,191884376
9,0.6744701862335205,191884384
10,0.6797730922698975,191888696
10,0.6797730922698975,191888696
10,0.6797730922698975,191888696
10,0.6797730922698975,191888704
10,0.6797730922698975,191888704
10,0.6797730922698975,191888704
10,0.6797730922698975,191888696
10,0.6797730922698975,191888704
11,0.6878361701965332,191887256
11,0.6878361701965332,191887256
11,0.6878361701965332,191887256
11,0.6878361701965332,191887264
11,0.6878361701965332,191887264
11,0.6878361701965332,191887264
11,0.6878361701965332,191887256
11,0.6878361701965332,191887264
12,0.6784751415252686,191886536
12,0.6784751415252686,191886536
12,0.6784751415252686,191886536
12,0.6784751415252686,191886544
12,0.6784751415252686,191886544
12,0.6784751415252686,191886544
12,0.6784751415252686,191886536
12,0.6784751415252686,191886544
13,0.6898210048675537,191880776
13,0.6898210048675537,191880776
13,0.6898210048675537,191880776
13,0.6898210048675537,191880784
13,0.6898210048675537,191880784
13,0.6898210048675537,191880784
13,0.6898210048675537,191880776
13,0.6898210048675537,191880784
14,0.695497989654541,191883896
14,0.695497989654541,191883896
14,0.695497989654541,191883896
14,0.695497989654541,191883904
14,0.695497989654541,191883904
14,0.695497989654541,191883904
14,0.695497989654541,191883896
14,0.695497989654541,191883904
15,0.6826188564300537,191887256
15,0.6826188564300537,191887256
15,0.6826188564300537,191887256
15,0.6826188564300537,191887264
15,0.6826188564300537,191887264
15,0.6826188564300537,191887264
15,0.6826188564300537,191887256
15,0.6826188564300537,191887264
16,0.6949498653411865,191888696
16,0.6949498653411865,191888696
16,0.6949498653411865,191888696
16,0.6949498653411865,191888704
16,0.6949498653411865,191888704
16,0.6949498653411865,191888704
16,0.6949498653411865,191888696
16,0.6949498653411865,191888704
17,0.7052638530731201,191888936
17,0.7052638530731201,191888936
17,0.7052638530731201,191888936
17,0.7052638530731201,191888944
17,0.7052638530731201,191888944
17,0.7052638530731201,191888944
17,0.7052638530731201,191888936
17,0.7052638530731201,191888944
18,0.6994860172271729,191890376
18,0.6994860172271729,191890376
18,0.6994860172271729,191890376
18,0.6994860172271729,191890384
18,0.6994860172271729,191890384
18,0.6994860172271729,191890384
18,0.6994860172271729,191890376
18,0.6994860172271729,191890384
19,0.6988751888275146,191876160
19,0.6988751888275146,191876160
19,0.6988751888275146,191876160
19,0.6988751888275146,191876160
19,0.6988751888275146,191876160
19,0.6988751888275146,191876160
19,0.6988751888275146,191876160
19,0.6988751888275146,191876160
20,0.7047441005706787,191884616
20,0.7047441005706787,191884616
20,0.7047441005706787,191884616
20,0.7047441005706787,191884624
20,0.7047441005706787,191884624
20,0.7047441005706787,191884624
20,0.7047441005706787,191884616
20,0.7047441005706787,191884624
21,0.7010138034820557,191887976
21,0.7010138034820557,191887976
21,0.7010138034820557,191887976
21,0.7010138034820557,191887984
21,0.7010138034820557,191887984
21,0.7010138034820557,191887984
21,0.7010138034820557,191887976
21,0.7010138034820557,191887984
22,0.7086381912231445,191889896
22,0.7086381912231445,191875544
22,0.7086381912231445,191875544
22,0.7086381912231445,191885120
22,0.7086381912231445,191889904
22,0.7086381912231445,191885120
22,0.7086381912231445,191889896
22,0.7086381912231445,191889904
23,0.7065041065216064,191887976
23,0.7065041065216064,191902328
23,0.7065041065216064,191902328
23,0.7065041065216064,191892768
23,0.7065041065216064,191887984
23,0.7065041065216064,191892768
23,0.7065041065216064,191887976
23,0.7065041065216064,191887984
24,0.7145829200744629,191887976
24,0.7145829200744629,191887976
24,0.7145829200744629,191887976
24,0.7145829200744629,191887984
24,0.7145829200744629,191887984
