iteration_duration_seconds,cdf
3.567441940307617,0.005
3.6100339889526367,0.01
3.6246883869171143,0.015
3.6461336612701416,0.02
3.6490683555603027,0.025
3.6631524562835693,0.03
3.6686794757843018,0.035
3.671182632446289,0.04
3.6715245246887207,0.045
3.676351308822632,0.05
3.6961758136749268,0.055
3.6965785026550293,0.06
3.699192762374878,0.065
3.700767755508423,0.07
3.7028143405914307,0.075
3.705240488052368,0.08
3.7073912620544434,0.085
3.7098536491394043,0.09
3.711432456970215,0.095
3.712068557739258,0.1
3.713832378387451,0.105
3.7164838314056396,0.11
3.717167615890503,0.115
3.717514753341675,0.12
3.7198240756988525,0.125
3.721566915512085,0.13
3.7248458862304688,0.135
3.7278268337249756,0.14
3.730727434158325,0.145
3.7310452461242676,0.15
3.7364885807037354,0.155
3.738610029220581,0.16
3.740511417388916,0.165
3.7415146827697754,0.17
3.742388963699341,0.175
3.7427170276641846,0.18
3.7440624237060547,0.185
3.7451999187469482,0.19
3.746389627456665,0.195
3.7464382648468018,0.2
3.748347282409668,0.205
3.7495694160461426,0.21
3.751237154006958,0.215
3.7528133392333984,0.22
3.753666400909424,0.225
3.755246639251709,0.23
3.7579524517059326,0.235
3.7616231441497803,0.24
3.761854887008667,0.245
3.7628371715545654,0.25
3.7644729614257812,0.255
3.7665741443634033,0.26
3.76705002784729,0.265
3.7684097290039062,0.27
3.768465042114258,0.275
3.7760074138641357,0.28
3.7781879901885986,0.285
3.7810428142547607,0.29
3.78255295753479,0.295
3.783261775970459,0.3
3.784759283065796,0.305
3.7848479747772217,0.31
3.785140037536621,0.315
3.785198450088501,0.32
3.786223888397217,0.325
3.7863757610321045,0.33
3.7870309352874756,0.335
3.7873549461364746,0.34
3.7895913124084473,0.345
3.7896440029144287,0.35
3.794219732284546,0.355
3.7951064109802246,0.36
3.7962300777435303,0.365
3.797157049179077,0.37
3.7972238063812256,0.375
3.8001139163970947,0.38
3.800830125808716,0.385
3.803767204284668,0.39
3.805222272872925,0.395
3.8053715229034424,0.4
3.807429790496826,0.405
3.8084237575531006,0.41
3.808880567550659,0.415
3.8092052936553955,0.42
3.8093771934509277,0.425
3.810953140258789,0.43
3.811467170715332,0.435
3.816504716873169,0.44
3.816847801208496,0.445
3.8169798851013184,0.45
3.818178415298462,0.455
3.8184101581573486,0.46
3.8190457820892334,0.465
3.820939540863037,0.47
3.821645498275757,0.475
3.8224751949310303,0.48
3.8242239952087402,0.485
3.8258752822875977,0.49
3.827397346496582,0.495
3.8274054527282715,0.5
3.827742338180542,0.505
3.8290884494781494,0.51
3.8318610191345215,0.515
3.8337628841400146,0.52
3.8350086212158203,0.525
3.835102081298828,0.53
3.8351056575775146,0.535
3.8355019092559814,0.54
3.8358588218688965,0.545
3.8367676734924316,0.55
3.83874249458313,0.555
3.838822364807129,0.56
3.840099573135376,0.565
3.842426300048828,0.57
3.845510959625244,0.575
3.8491244316101074,0.58
3.8492555618286133,0.585
3.850283622741699,0.59
3.85066556930542,0.595
3.854046583175659,0.6
3.8579912185668945,0.605
3.8587403297424316,0.61
3.8589677810668945,0.615
3.8608906269073486,0.62
3.86201548576355,0.625
3.8621058464050293,0.63
3.864358425140381,0.635
3.864699125289917,0.64
3.86525297164917,0.645
3.86714768409729,0.65
3.867949962615967,0.655
3.8703765869140625,0.66
3.870835781097412,0.665
3.872291088104248,0.67
3.8725106716156006,0.675
3.8731048107147217,0.68
3.873232364654541,0.685
3.8762388229370117,0.69
3.8767993450164795,0.695
3.878258466720581,0.7
3.8786654472351074,0.705
3.879946708679199,0.71
3.880305528640747,0.715
3.880474805831909,0.72
3.8809986114501953,0.725
3.884934186935425,0.73
3.8869848251342773,0.735
3.887195348739624,0.74
3.887683868408203,0.745
3.8882224559783936,0.75
3.888552665710449,0.755
3.888726234436035,0.76
3.894287586212158,0.765
3.9040274620056152,0.77
3.904231309890747,0.775
3.9051458835601807,0.78
3.9055161476135254,0.785
3.9094502925872803,0.79
3.9116101264953613,0.795
3.9125747680664062,0.8
3.9137909412384033,0.805
3.9166946411132812,0.81
3.919083595275879,0.815
3.921943426132202,0.82
3.9244391918182373,0.825
3.9277102947235107,0.83
3.9290213584899902,0.835
3.929630756378174,0.84
3.9297537803649902,0.845
3.932626247406006,0.85
3.9370486736297607,0.855
3.9424901008605957,0.86
3.9427101612091064,0.865
3.943551778793335,0.87
3.945735216140747,0.875
3.9517340660095215,0.88
3.9526774883270264,0.885
3.9532558917999268,0.89
3.9539525508880615,0.895
3.955125093460083,0.9
3.9597091674804688,0.905
3.960033893585205,0.91
3.981876850128174,0.915
3.9857707023620605,0.92
3.9941725730895996,0.925
4.000117540359497,0.93
4.0006489753723145,0.935
4.0015764236450195,0.94
4.00213360786438,0.945
4.011216878890991,0.95
4.044004917144775,0.955
4.063720464706421,0.96
4.076805830001831,0.965
4.078054666519165,0.97
4.104182720184326,0.975
4.107467174530029,0.98
4.12084174156189,0.985
4.184385061264038,0.99
5.360591411590576,0.995
63.56354069709778,1.0
