flow_bytes_per_iteration_sent,cdf
1564046797,0.000625
1703356323,0.00125
1728171184,0.001875
1729347188,0.0025
1763036575,0.003125
1769033905,0.00375
1770596588,0.004375
1779224047,0.005
1783113906,0.005625
1795399805,0.00625
1799508552,0.006875
1860923126,0.0075
1883338331,0.008125
1948388786,0.00875
1956253475,0.009375
1979869055,0.01
1996766827,0.010625
1999177907,0.01125
2011923152,0.011875
2027629832,0.0125
2112903691,0.013125
2117757152,0.01375
2145888903,0.014375
2164295995,0.015
2177701608,0.015625
2195181424,0.01625
2212816196,0.016875
2218594082,0.0175
2238305435,0.018125
2244836271,0.01875
2287130172,0.019375
2290029319,0.02
2305686850,0.020625
2316011142,0.02125
2360668090,0.021875
2362284143,0.0225
2367949949,0.023125
2387961258,0.02375
2394188570,0.024375
2408282847,0.025
2428648850,0.025625
2467613518,0.02625
2474896111,0.026875
2494127634,0.0275
2517408031,0.028125
2533030215,0.02875
2570454368,0.029375
2574669150,0.03
2575120010,0.030625
2584751062,0.03125
2598306443,0.031875
2603010381,0.0325
2611008552,0.033125
2612086280,0.03375
2620942372,0.034375
2663990115,0.035
2675949010,0.035625
2678766144,0.03625
2708023596,0.036875
2708841000,0.0375
2714848247,0.038125
2720335152,0.03875
2751367588,0.039375
2763888375,0.04
2796915854,0.040625
2809604310,0.04125
2810000649,0.041875
2811819427,0.0425
2819431787,0.043125
2888620742,0.04375
2892314498,0.044375
2905970213,0.045
2944677010,0.045625
2949904542,0.04625
2962630092,0.046875
3023898035,0.0475
3024228932,0.048125
3025192318,0.04875
3040083749,0.049375
3044048004,0.05
3063554561,0.050625
3088764999,0.05125
3134513398,0.051875
3177624312,0.0525
3177857174,0.053125
3185785056,0.05375
3203500062,0.054375
3219758657,0.055
3228561393,0.055625
3263676218,0.05625
3278600318,0.056875
3316457009,0.0575
3324448196,0.058125
3327367731,0.05875
3329740801,0.059375
3366120148,0.06
3387623798,0.060625
3399830766,0.06125
3406030992,0.061875
3408876022,0.0625
3436660348,0.063125
3448163493,0.06375
3464123265,0.064375
3482240094,0.065
3494652184,0.065625
3545137561,0.06625
3549592511,0.066875
3554113123,0.0675
3584473022,0.068125
3591986416,0.06875
3596363675,0.069375
3609300894,0.07
3626895871,0.070625
3659515596,0.07125
3661115389,0.071875
3694477854,0.0725
3706021876,0.073125
3723232257,0.07375
3727164533,0.074375
3728241663,0.075
3733364826,0.075625
3763983904,0.07625
3774357209,0.076875
3793151158,0.0775
3803982360,0.078125
3842872117,0.07875
3886231767,0.079375
3901901074,0.08
3985972203,0.080625
4029516446,0.08125
4074561321,0.081875
4075115300,0.0825
4082340200,0.083125
4091303300,0.08375
4091692528,0.084375
4092298463,0.085
4093919346,0.085625
4098421063,0.08625
4113400323,0.086875
4131035890,0.0875
4137684148,0.088125
4157654417,0.08875
4190361172,0.089375
4201601867,0.09
4206703057,0.090625
4232026588,0.09125
4248752658,0.091875
4250118724,0.0925
4279925500,0.093125
4285106620,0.09375
4316458549,0.094375
4358040838,0.095
4364354148,0.095625
4365885115,0.09625
4381139148,0.096875
4384070170,0.0975
4389108486,0.098125
4448893681,0.09875
4475300430,0.099375
4479981816,0.1
4513562868,0.100625
4538319682,0.10125
4550835139,0.101875
4556249900,0.1025
4564177069,0.103125
4579991774,0.10375
4591942450,0.104375
4614038389,0.105
4614710021,0.105625
4636578369,0.10625
4641815610,0.106875
4646332945,0.1075
4656569867,0.108125
4663818981,0.10875
4683811302,0.109375
4688772263,0.11
4692358260,0.110625
4693247514,0.11125
4693509149,0.111875
4699988016,0.1125
4707594128,0.113125
4714358106,0.11375
4717534020,0.114375
4725238021,0.115
4728902667,0.115625
4757386011,0.11625
4765003710,0.116875
4767117826,0.1175
4773638872,0.118125
4781118713,0.11875
4815332269,0.119375
4855090339,0.12
4858705067,0.120625
4869390843,0.12125
4871458424,0.121875
4874082633,0.1225
4884901892,0.123125
4901986574,0.12375
4908822968,0.124375
4922977571,0.125
4937726707,0.125625
4939631457,0.12625
4952988966,0.126875
4957224161,0.1275
4961881025,0.128125
4964967691,0.12875
4965978370,0.129375
4966921378,0.13
4982511063,0.130625
4998568181,0.13125
5008869028,0.131875
5010665592,0.1325
5011699981,0.133125
5014406548,0.13375
5020602623,0.134375
5023234915,0.135
5023931817,0.135625
5028730994,0.13625
5029750239,0.136875
5036555215,0.1375
5042969056,0.138125
5047651599,0.13875
5055152781,0.139375
5056518854,0.14
5060299072,0.140625
5061223450,0.14125
5064953867,0.141875
5070411616,0.1425
5071425938,0.143125
5072925194,0.14375
5076949203,0.144375
5083611868,0.145
5085392068,0.145625
5092914577,0.14625
5099906748,0.146875
5111375568,0.1475
5112693408,0.148125
5113733777,0.14875
5113890637,0.149375
5120163234,0.15
5127181554,0.150625
5127837615,0.15125
5127929064,0.151875
5128287717,0.1525
5129103298,0.153125
5140308403,0.15375
5143189509,0.154375
5144142413,0.155
5147876081,0.155625
5152420313,0.15625
5154558733,0.156875
5157302160,0.1575
5159807385,0.158125
5160572678,0.15875
5160742471,0.159375
5165308185,0.16
5169148757,0.160625
5174982161,0.16125
5179575154,0.161875
5184684898,0.1625
5194350663,0.163125
5195746266,0.16375
5197494185,0.164375
5200023622,0.165
5200935488,0.165625
5201525491,0.16625
5207736399,0.166875
5209043051,0.1675
5212853472,0.168125
5213122561,0.16875
5216123836,0.169375
5218701202,0.17
5219109238,0.170625
5221511439,0.17125
5225382443,0.171875
5230020607,0.1725
5231910570,0.173125
5231918550,0.17375
5232481033,0.174375
5235802384,0.175
5238494488,0.175625
5239058794,0.17625
5241471429,0.176875
5243851550,0.1775
5246065430,0.178125
5247973423,0.17875
5248782238,0.179375
5251643009,0.18
5252245913,0.180625
5252592443,0.18125
5254367507,0.181875
5256450122,0.1825
5257463954,0.183125
5260338350,0.18375
5261835430,0.184375
5262950201,0.185
5263596010,0.185625
5264479740,0.18625
5266135017,0.186875
5268795077,0.1875
5269266789,0.188125
5273486845,0.18875
5274290100,0.189375
5277613230,0.19
5277721139,0.190625
5278657932,0.19125
5278830736,0.191875
5280995149,0.1925
5281090766,0.193125
5281357142,0.19375
5282007925,0.194375
5282013133,0.195
5282108241,0.195625
5282433689,0.19625
5282667217,0.196875
5282795089,0.1975
5284180380,0.198125
5284280071,0.19875
5284313537,0.199375
5284335581,0.2
