iteration_duration_seconds,cdf
2.136615037918091,0.005
2.137503147125244,0.01
2.1398110389709473,0.015
2.1424078941345215,0.02
2.1506428718566895,0.025
2.1620571613311768,0.03
2.163973093032837,0.035
2.1701509952545166,0.04
2.1755170822143555,0.045
2.178420066833496,0.05
2.182504177093506,0.055
2.1827750205993652,0.06
2.184269905090332,0.065
2.185757875442505,0.07
2.187108039855957,0.075
2.191317081451416,0.08
2.1922340393066406,0.085
2.1922709941864014,0.09
2.1942520141601562,0.095
2.194827079772949,0.1
2.1978068351745605,0.105
2.1978600025177,0.11
2.198453903198242,0.115
2.19925594329834,0.12
2.1997480392456055,0.125
2.200253963470459,0.13
2.2004599571228027,0.135
2.2059640884399414,0.14
2.206770896911621,0.145
2.207542896270752,0.15
2.208404064178467,0.155
2.209537982940674,0.16
2.2107369899749756,0.165
2.211854934692383,0.17
2.2122740745544434,0.175
2.2123029232025146,0.18
2.214567184448242,0.185
2.2146670818328857,0.19
2.214853048324585,0.195
2.2180769443511963,0.2
2.21962308883667,0.205
2.2199630737304688,0.21
2.2211039066314697,0.215
2.2213962078094482,0.22
2.221712112426758,0.225
2.221940040588379,0.23
2.222053050994873,0.235
2.222245931625366,0.24
2.2222840785980225,0.245
2.223828077316284,0.25
2.2245941162109375,0.255
2.22477388381958,0.26
2.2253048419952393,0.265
2.225385904312134,0.27
2.2256338596343994,0.275
2.2264819145202637,0.28
2.2267210483551025,0.285
2.226832866668701,0.29
2.226839065551758,0.295
2.227057933807373,0.3
2.228208065032959,0.305
2.2285609245300293,0.31
2.2292749881744385,0.315
2.2298130989074707,0.32
2.230559825897217,0.325
2.232023000717163,0.33
2.232245922088623,0.335
2.23286509513855,0.34
2.2332441806793213,0.345
2.233851909637451,0.35
2.233905076980591,0.355
2.2346949577331543,0.36
2.234907865524292,0.365
2.2351670265197754,0.37
2.2373881340026855,0.375
2.2384791374206543,0.38
2.2390689849853516,0.385
2.239654064178467,0.39
2.2401700019836426,0.395
2.2406370639801025,0.4
2.241046905517578,0.405
2.2413010597229004,0.41
2.2416141033172607,0.415
2.2425668239593506,0.42
2.2436089515686035,0.425
2.244014024734497,0.43
2.245278835296631,0.435
2.249840021133423,0.44
2.2507479190826416,0.445
2.2522730827331543,0.45
2.2537779808044434,0.455
2.254019021987915,0.46
2.2542788982391357,0.465
2.254733085632324,0.47
2.2566559314727783,0.475
2.2574338912963867,0.48
2.2583730220794678,0.485
2.2608909606933594,0.49
2.2623918056488037,0.495
2.265875816345215,0.5
2.2661850452423096,0.505
2.2678980827331543,0.51
2.268961191177368,0.515
2.2691171169281006,0.52
2.2693710327148438,0.525
2.2695109844207764,0.53
2.269676923751831,0.535
2.270411968231201,0.54
2.270495891571045,0.545
2.270901918411255,0.55
2.271183967590332,0.555
2.2713539600372314,0.56
2.2713570594787598,0.565
2.273944854736328,0.57
2.2757320404052734,0.575
2.2762181758880615,0.58
2.276930093765259,0.585
2.27856183052063,0.59
2.279644012451172,0.595
2.2797300815582275,0.6
2.2801668643951416,0.605
2.280280113220215,0.61
2.2841551303863525,0.615
2.284285068511963,0.62
2.2843751907348633,0.625
2.2844529151916504,0.63
2.285884141921997,0.635
2.286961078643799,0.64
2.2876880168914795,0.645
2.2913930416107178,0.65
2.291425943374634,0.655
2.291672945022583,0.66
2.292968988418579,0.665
2.29300594329834,0.67
2.2934629917144775,0.675
2.2943379878997803,0.68
2.295624017715454,0.685
2.296420097351074,0.69
2.2991390228271484,0.695
2.300729990005493,0.7
2.301693916320801,0.705
2.302175998687744,0.71
2.3029961585998535,0.715
2.3030171394348145,0.72
2.303359031677246,0.725
2.3035800457000732,0.73
2.304399013519287,0.735
2.3051981925964355,0.74
2.30662202835083,0.745
2.307796001434326,0.75
2.3082687854766846,0.755
2.308962821960449,0.76
2.3103950023651123,0.765
2.31113600730896,0.77
2.311279058456421,0.775
2.3118679523468018,0.78
2.3133912086486816,0.785
2.315134048461914,0.79
2.316957950592041,0.795
2.318532943725586,0.8
2.318690061569214,0.805
2.3193118572235107,0.81
2.3206889629364014,0.815
2.321187973022461,0.82
2.3212649822235107,0.825
2.321291923522949,0.83
2.3225300312042236,0.835
2.325105905532837,0.84
2.326748847961426,0.845
2.327155828475952,0.85
2.327713966369629,0.855
2.3280282020568848,0.86
2.329129934310913,0.865
2.3300669193267822,0.87
2.3318839073181152,0.875
2.333415985107422,0.88
2.333972930908203,0.885
2.3344180583953857,0.89
2.3345959186553955,0.895
2.335418939590454,0.9
2.3380520343780518,0.905
2.338060140609741,0.91
2.3380649089813232,0.915
2.338212013244629,0.92
2.3464529514312744,0.925
2.3470888137817383,0.93
2.351901054382324,0.935
2.3557960987091064,0.94
2.356868028640747,0.945
2.3572680950164795,0.95
2.3610548973083496,0.955
2.3770289421081543,0.96
2.37801194190979,0.965
2.3781280517578125,0.97
2.3789730072021484,0.975
2.3885250091552734,0.98
2.3908839225769043,0.985
2.40183687210083,0.99
2.4127910137176514,0.995
2.4741649627685547,1.0
